daily_return,moving_average_50,moving_average_200,volatility,portfolio_performance,correlation_with_market,correlation_with_sector,news_sentiment_score,positive_news_count,negative_news_count
-0.2812,16.53,44.42,79.32,-31.54,0.7168,0.9424,0.58,78,62
-0.9698,45.94,91.09,35.73,68.06,-0.4901,0.4075,0.05,72,30
0.4723,67.86,73.9,50.8,-12.59,0.7835,-0.6661,0.77,69,96
0.2755,39.28,52.15,52.51,71.11,0.9195,-0.9141,0.91,70,68
0.9126,58.24,64.39,69.33,78.77,-0.755,-0.6172,0.24,33,42
0.6134,58.1,62.72,62.61,-93.84,-0.7992,0.1098,0.23,99,0
0.5152,33.48,47.33,46.5,-94.77,0.0577,-0.7898,0.83,14,81
-0.9046,9.48,9.3,12.31,-85.37,0.1018,0.8185,0.78,77,23
-0.3118,63.32,54.62,86.05,42.41,-0.8181,0.2938,0.92,86,20
0.9857,90.29,83.6,83.52,-53.68,-0.0501,0.1426,0.36,66,42
0.4425,67,78.85,87.93,-82.03,-0.8953,0.9113,0.75,97,28
0.0595,51.94,83.4,43.7,41.05,-0.9586,-0.533,0.2,10,34
0.9265,53.12,42.27,39.88,48.38,0.8631,-0.001,0,71,86
0.6419,29.97,66.65,98.42,10.27,-0.2335,0.494,0.81,4,83
-0.1174,62.95,18.11,27.98,-19.21,0.1124,0.5045,0.96,3,59
0.0063,32.9,75.91,7.68,3.11,-0.7652,0.9308,0.36,29,89
-0.8178,19.7,52.4,15.12,-88.67,-0.0258,-0.3399,0.52,10,80
-0.7917,82.27,74.77,81.32,-54.26,-0.3451,-0.9514,0.07,59,75
0.1391,43.12,72.52,1.36,2.88,0.0037,-0.3078,0.11,45,27
-0.7209,64.67,79.39,50.78,-39.54,-0.8989,-0.9319,0.76,86,68
-0.9562,82.08,38.17,85.76,9.62,0.6306,-0.9845,0.54,65,39
-0.9806,44.51,31.41,3.98,14.58,-0.4223,-0.904,0.95,39,80
-0.9338,84.17,9.43,82.91,96.52,-0.6603,0.0895,0.91,99,37
-0.4759,5.26,79.39,88.42,-32.52,-0.9571,0.8921,0.04,67,99
0.2058,92.04,89.97,56.71,80.56,0.5049,0.4918,0.27,60,29
-0.5641,7.57,50.03,45.88,28.04,0.8604,0.8336,0.89,84,11
0.9671,79.37,58.8,28.71,23.45,-0.5524,0.9358,0.89,27,3
0.5672,90.92,27.15,51.82,74.88,0.6687,0.6016,0.81,75,100
0.992,78.83,92.5,80.39,15.74,0.7163,0.0378,0.6,95,81
-0.8126,16.37,86.34,73.52,-89.27,0.7792,-0.3546,0.36,48,55
-0.8102,97.27,48.56,69.77,25.7,-0.3692,-0.5984,0.95,0,62
0.9917,78.33,5.06,78,-62.19,-0.8026,0.131,0.63,100,70
0.1924,46.98,35.54,59.89,-71.94,0.9494,-0.3201,0.65,100,92
-0.1575,63.56,59.53,3.24,38.11,-0.1091,-0.6636,0.29,99,63
0.5755,82.1,63,32.09,71.88,-0.4899,-0.5905,0.19,28,75
0.9422,83.49,83.26,57.22,-44.31,0.0181,-0.3833,0.07,95,71
0.0169,36.01,61.1,0.17,63.82,-0.0285,0.836,0.46,74,19
-0.7866,79.43,4.7,83.89,-1.93,0.3478,-0.3252,0.96,48,36
0.0045,30.23,71.97,42.57,-77.16,0.3627,0.2823,0.32,5,22
-0.4575,89.92,33.19,10.11,16.58,0.2679,0.798,0.5,9,81
-0.265,84.43,93.76,72.2,32.27,0.4117,-0.1105,0.57,49,86
0.5029,85.28,70.92,66.53,82.16,0.4701,0.1447,0.29,96,13
0.0722,90.74,93.38,79,98.42,-0.0286,-0.3173,0.3,99,78
0.5312,26.61,42.08,17.72,-33.85,-0.3781,0.4091,0.85,85,58
-0.2087,58.35,47.89,71.03,-85.71,0.8469,-0.4918,0.74,97,53
0.9314,87.05,95.04,98.95,9.75,-0.7587,-0.9249,0.83,66,25
-0.1807,62.2,53.74,48.46,-6.44,-0.3054,0.937,0.56,44,93
0.0256,45.22,52.68,32.75,75.16,0.1775,-0.6891,0.57,8,58
-0.2426,42.1,78.17,23.68,35.14,0.5813,-0.8222,0.22,88,27
0.7121,19.25,93.89,39.61,-96.79,0.0586,0.9655,0.13,92,69
-0.5486,92.2,59.48,43.45,-85.36,0.1334,-0.9663,0.57,8,48
0.485,37.07,72.49,19.2,96.73,-0.131,-0.4441,0.63,4,20
0.4621,8.19,73.19,51.6,-41.43,-0.3077,0.41,0.37,51,12
0.8079,29.98,13.77,51.7,-20.4,-0.8048,-0.583,0.71,98,97
-0.8608,54.2,70.97,68.8,72.13,0.8683,0.2488,0.22,30,100
0.7051,96.54,58.67,95.38,74.33,-0.4319,-0.5096,0.48,78,14
-0.954,72.11,20.23,0.54,-51.29,-0.6042,-0.1702,0.01,24,1
-0.6273,28.52,85.48,9.86,43.84,0.6238,0.2977,0.45,94,53
0.7491,70.45,1.3,85.99,-85.98,0.0023,-0.3724,0.09,20,24
-0.449,97.69,74.49,99.14,89.14,0.9983,0.0113,0.34,41,18
-0.9675,10.3,74.24,40.38,-97.04,0.8124,-0.8466,0.6,28,71
-0.9263,7.04,72.15,97.94,-6.17,0.9513,0.0063,0.1,32,10
0.4606,40.4,32.35,12.09,9.01,0.689,0.3931,0.88,50,95
-0.9968,44.75,51.15,99.4,-31.89,-0.7259,-0.0252,0.82,33,73
0.8019,62.22,73.63,98.62,-49.42,0.8093,0.3609,0.06,57,5
-0.6822,4.09,20.86,88.28,-19.5,-0.9597,-0.4974,0.8,17,93
-0.4279,18.77,98.31,44.71,-97.41,-0.1974,0.4288,0.95,45,91
-0.3968,25.01,80.82,92.71,85.91,-0.4084,0.4485,0.83,95,11
-0.4372,8.56,20.43,84.56,-98.46,-0.97,-0.9044,0.04,3,53
0.982,33.05,80.05,93.95,35.33,0.4873,-0.416,0.78,29,30
0.7596,97.64,29.41,56.49,58.35,-0.0876,-0.4988,0.97,35,56
0.3487,74.92,51.48,74.71,-77.01,-0.2837,-0.6709,0.78,42,82
-0.4843,43.14,12.85,95.45,-21.34,0.4808,-0.0561,0.38,27,17
-0.8921,12.7,44.1,6.97,-70.94,0.8486,0.0911,0.24,88,40
-0.9829,55.82,11.04,55.89,48.79,-0.4811,0.8137,0.91,83,18
-0.6948,2.18,5.5,28.81,-50.23,-0.1694,0.4475,0.06,29,52
0.8511,65.84,44.83,88.52,-33.95,-0.2787,0.9405,0.22,92,30
0.2239,19.06,9.58,64.22,-50.52,0.1269,-0.2225,0.32,73,1
0.3429,6.49,49.84,5.35,11.71,-0.8226,0.9926,0.65,30,21
0.9267,63.18,14.76,33.97,-36.78,-0.3001,0.0229,0.64,66,7
-0.7668,55.91,46.92,69.41,-84.12,0.6041,0.6598,0.08,20,58
-0.0584,21.37,20.96,89.31,-46.48,-0.8186,0.1956,0.44,23,6
0.7082,69.75,28.69,45.94,-18.1,-0.4321,0.6393,0.37,87,62
0.4937,49.18,3.29,39.33,77.8,-0.9721,0.973,0.72,10,62
-0.6964,54.47,71.88,30.72,-5.18,-0.0356,0.5182,0.84,16,5
-0.1213,46.63,90.29,78.83,-32.89,-0.9626,0.5942,0.74,79,84
-0.9989,9.65,5.01,67.03,-12.34,-0.2291,-0.4297,0.94,54,41
-0.5444,75.77,36.94,89.54,85.53,-0.2597,0.4612,0.15,28,70
-0.4639,17.41,15.4,26.3,-47,0.4434,0.4434,0.19,22,58
0.6145,85.83,52.78,88.83,17.65,-0.1075,0.0032,0.86,94,17
0.9921,56.96,3.32,8.83,-84.22,0.6746,0.2814,0.57,68,8
0.8896,55.15,84,45.07,88.72,0.3038,-0.0925,0.38,60,17
-0.7303,95.84,72.47,63.88,-78.37,0.8586,-0.4264,0.12,5,80
0.0529,49.37,99.37,51.15,-17.84,-0.9006,-0.7296,0.11,16,51
-0.1177,17.15,32.87,3.82,8.3,0.3253,0.9323,0.17,62,19
-0.1317,63.36,84.28,93.23,81,-0.5476,-0.7988,0.51,39,70
-0.8448,8.11,7.53,85.31,72.26,0.8859,0.9207,0.09,40,72
-0.5255,17.1,14.59,56.54,10.63,-0.1213,0.873,0.32,45,51
-0.5964,50.35,85.62,53.19,-2.03,0.0716,-0.5133,0.42,54,11
-0.0603,12.99,49.47,16.15,-26.96,-0.5609,-0.0374,0.96,76,49
0.0009,73.75,98.02,91.62,-99.06,0.6377,0.8973,0.8,70,13
-0.2246,11.8,43.49,26.75,-73.23,0.3264,-0.202,0.4,83,1
0.0579,55,12.96,99.29,-34.77,-0.9922,-0.6332,0.46,69,43
-0.177,64.49,67.69,47.83,-60.87,-0.4141,-0.1688,0.42,38,2
0.1316,54.36,51.77,44.99,14.91,-0.0549,-0.6794,0.09,81,60
0.4203,36.59,73.32,1.85,98.01,0.5722,-0.6223,0.38,32,51
0.3573,89.05,91.58,12.33,62.06,0.8824,-0.8505,0.9,30,31
0.6861,66.21,55.96,9.66,2.83,-0.0723,-0.1283,0.12,28,74
0.6467,52.87,87.39,32.88,28.41,0.8977,-0.7309,0.67,85,3
0.6828,34.52,89.3,56.46,-44.99,-0.8649,0.9008,0.05,13,5
0.7146,52.84,31.54,15.35,-42.12,-0.8234,-0.1909,0.33,34,4
-0.0979,24.31,31.95,30.12,10.96,-0.1873,0.6922,0.48,67,80
-0.7758,62.07,94.93,1.59,50.41,0.2246,0.1966,0.33,53,9
0.2264,56.87,77.79,6.34,9.24,-0.1484,0.4531,0.66,61,62
-0.3563,72.19,53.49,99.1,85.97,0.0443,0.2626,0.12,90,38
0.9279,60.67,59.16,66.16,20.96,-0.0687,-0.421,0.06,40,29
0.3389,12.93,95.86,48.15,-27.26,0.2875,-0.8455,0.66,87,28
0.6754,8.27,27.79,53.46,15.77,0.0401,-0.5941,0.08,68,44
-0.176,84.59,50.99,69.02,47.12,-0.3519,0.4004,0.01,75,57
0.695,9.96,73.85,96.35,43.06,0.4652,0.0611,0.97,83,33
-0.9407,29.97,42.63,33.45,-13.11,-0.6071,0.3967,0.82,94,73
0.7269,96.74,31.93,8.88,-36.21,-0.3208,-0.591,0.23,97,22
-0.1397,39.99,59.44,64.92,-75.65,0.6612,-0.3633,0.66,50,34
0.141,51.1,7.26,85.53,51.45,0.6742,0.0447,0.92,32,34
-0.4468,16.25,84.83,15.29,-46.47,-0.5259,0.613,0.26,65,91
-0.5316,99.06,55.49,95.33,93.25,-0.619,-0.5237,0.1,49,34
-0.2393,32.88,61.74,32.64,-90.27,-0.8666,0.4751,0.65,22,28
-0.4288,34.39,95.85,92.54,-69.06,-0.4807,-0.3406,0.52,63,34
-0.2879,53.46,92.72,36.16,-60.43,0.9422,0.7119,0.94,36,85
0.4208,51.36,63.6,62.24,-74.67,-0.2599,-0.0969,0.81,51,53
0.5485,67.35,88.49,75.51,-48.47,-0.2313,-0.5071,0.6,13,83
-0.4725,12.92,16.76,43.51,-69.82,0.9366,0.688,0.12,20,89
-0.7273,60.92,62.7,77.62,-35.28,0.9245,-0.0977,0.21,87,10
-0.5177,0.88,28,22.11,-55.87,0.0201,0.4411,0.12,65,46
0.9062,97.42,25.25,6.16,17.67,0.1514,-0.8561,0.95,46,52
0.2522,22.52,49.49,5.21,5.14,-0.8535,-0.9962,0.29,21,48
-0.5823,98.7,55.96,19.19,54.99,0.3555,0.4294,0.31,81,95
-0.6894,82.37,49.89,35.43,57.48,-0.9504,0.5446,0,52,15
-0.8205,27.7,27.61,96.2,67.66,0.9266,-0.6406,0.88,83,11
-0.835,32.6,22.57,16.11,-32.7,-0.7757,-0.0004,0.93,25,59
0.5983,47.67,49.65,28.14,-67.72,-0.1728,-0.0466,0.78,50,71
-0.7384,15.13,54.56,23.22,-67.22,-0.4477,-0.63,0.06,49,83
-0.9732,33.31,1.19,58.66,39.28,0.4502,0.1706,0.47,1,82
-0.0025,54.3,35.46,83.76,-98.66,-0.6224,-0.4247,0.65,81,31
-0.3378,56.48,64.15,89.52,14.7,0.9158,-0.0639,0.88,86,64
0.9473,19.17,21.3,43.05,78.81,0.0844,0.5683,0.89,60,14
-0.7188,58.07,85.41,74.79,-29.47,-0.3626,0.9594,0.3,83,64
-0.1152,2.96,0.56,12.34,53.26,0.9197,-0.5202,0.08,27,70
0.9638,99.35,83.4,49.31,38.13,0.5073,-0.5711,0.98,98,54
0.4504,3.13,43.37,49.93,76.46,-0.1103,-0.2991,0.36,84,22
-0.1181,91.2,63.84,99.68,36.4,0.1001,0.1572,0.83,83,8
-0.4919,86.92,46.25,53.29,51.79,0.1944,-0.4456,0.16,58,27
-0.5427,88.31,25.25,76.52,-80.18,0.787,-0.8932,0.07,80,30
0.4499,19.51,76.98,99.41,-90.39,-0.0177,0.2333,0.49,81,80
-0.9875,20.39,59.78,2.94,61.94,-0.0872,0.6804,0.97,13,80
-0.212,50.52,79,47.67,-32.63,-0.3648,-0.0663,0.48,92,96
0.0816,91.94,42.69,38.38,66.42,-0.2195,-0.0608,0.44,95,62
0.1802,13.52,91.91,92.25,70.75,-0.3135,-0.0809,0.75,36,36
0.3899,21.56,76.61,13.72,12.5,0.0515,0.2988,0.24,31,37
0.4392,23.12,15.87,62.02,24.82,-0.9818,-0.3526,0.5,8,69
-0.5994,11.56,73.87,67.47,50.33,-0.2942,0.9063,0.2,82,22
0.5164,71.12,14.4,45.59,-60.52,0.3638,-0.9987,0.22,71,26
0.2758,36.01,39.63,16.84,-19.6,0.5677,0.688,0.07,0,55
-0.2403,7,39.23,41.29,-58.49,0.9219,0.9486,0.86,15,18
0.1533,45.51,95.91,23.47,-91.41,-0.6462,0.1776,0.17,0,22
0.3628,83.7,67.84,60.34,-83.4,-0.3355,-0.9371,1,82,19
0.9114,13.64,5.78,78.65,-46.11,0.8893,0.9377,0.89,8,61
-0.2995,24.75,61.52,12.15,-77.06,0.6567,-0.5568,0.42,80,16
0.1343,83.22,85.41,80.03,-10.58,0.0189,-0.3171,0.6,2,44
0.2115,20.54,50.47,13.49,86.92,-0.9307,0.4864,0.64,55,54
-0.148,1.37,24.96,15.34,-58.49,-0.819,-0.4977,0.7,46,28
0.89,72.51,51.14,25.21,-4.19,-0.3583,0.1694,0.06,51,22
0.1592,93.33,61.85,17.9,72.2,-0.8875,0.1143,0.21,34,100
0.8982,16.21,80.11,39.38,-97.35,0.2261,-0.2199,0.39,47,41
-0.4669,32.96,20.54,79.08,62.47,0.9783,-0.942,0.17,74,3
0.363,53.27,34.74,27.23,85.65,0.1249,-0.5323,0.24,80,45
-0.4794,81.56,91.06,29.28,78.34,-0.5245,0.0691,1,11,66
-0.5709,96.79,10.41,87.07,73.63,0.9227,0.505,0.2,17,100
0.4042,71.76,45.04,6.94,65.48,-0.6598,0.6054,0.58,3,76
-0.6844,50.4,43.08,47.76,8.4,0.1629,0.913,0.48,43,0
0.5866,10.96,54.13,63.9,-19.28,-0.0353,0.6882,0.9,22,8
0.9637,24.75,45.29,3.98,62.39,0.0586,-0.1274,0.07,95,93
0.6247,36.58,47.27,72.16,83.68,0.2769,-0.2958,0.67,24,81
-0.3646,63.55,65.92,55.56,-46.35,0.2365,-0.2848,0.17,37,39
0.5163,24.69,39.08,40.39,-81.6,0.878,-0.2709,0.24,52,26
0.8466,51.27,70.68,24.17,51.61,0.4194,0.3368,0.04,78,14
-0.2807,10.83,53.83,13.89,30.89,0.6582,-0.9275,0.99,50,96
-0.1086,7.48,72.96,61.4,88.67,-0.0527,0.7779,0.24,54,31
-0.8011,47.58,14.2,62.94,-1.26,-0.0319,-0.8468,0.34,59,0
-0.7041,2.24,27.7,25.61,15.14,-0.3025,0.3235,0.26,16,35
-0.7276,82.65,1.66,77.39,38.62,0.947,0.3991,0.54,0,11
0.4341,48.24,83.4,25.03,-99.39,-0.6046,-0.39,0.88,71,46
0.247,46.99,39.77,39.79,-42.34,0.6612,0.3558,0.67,4,32
0.6226,26.75,28.54,74.65,-80.78,-0.1143,-0.5114,0.27,89,65
0.0082,69.4,71.97,96.22,96.82,-0.57,0.5351,0.01,14,55
-0.9857,79.41,40.32,27.84,39.38,0.1211,0.1996,0.29,98,100
0.1504,4.76,20.84,9.02,-72.81,-0.2121,0.9215,0.53,48,20
0.8088,12.06,32.8,47.58,42.6,0.5029,0.7999,0.31,35,83
0.9815,87.82,62.84,75.67,-75.71,-0.5726,0.9097,0.52,12,11
-0.1141,62.09,64.57,34.36,43.99,0.2522,-0.949,0.85,21,14
0.5959,42.75,99.27,10.6,-43.16,0.1159,-0.6602,0.77,90,54
0.7147,94.67,12.51,38.77,99.72,0.6881,0.9372,0.53,52,63
-0.7389,86.61,70.79,48.75,10.13,-0.5758,-0.5824,0.27,21,40
-0.7414,12.35,6.9,25.78,97.48,-0.8844,0.2017,0.1,32,27
-0.7964,48.12,70.82,22.23,-7.34,-0.4383,-0.4912,0.64,53,99
-0.4232,44.1,60.86,40.34,47.56,-0.0977,-0.2036,0.5,11,70
-0.5322,21.42,98.92,49.87,-35.23,-0.2339,0.0276,0.6,24,94
-0.6105,83.42,9.81,36.13,-84.45,-0.2188,0.5822,0.05,69,64
-0.7505,82.1,85.64,76.11,30.67,-0.84,0.0755,0.96,28,73
0.7402,47.56,74.27,80.51,24.19,0.5572,-0.2544,0.21,55,99
-0.6259,0.82,35.94,32.15,82.22,-0.4088,-0.7139,0.45,3,55
-0.7891,23.89,68,86.43,85.62,-0.3863,0.2002,0.85,17,37
-0.2766,66.63,68.54,53.24,10.75,0.2767,0.8041,0.98,95,88
-0.3603,43.66,77.66,28.43,-8.36,-0.0457,0.8027,0.5,60,68
0.5019,95.42,9.52,78.77,-9.4,0.9034,-0.3191,0.19,7,22
-0.6499,35.04,72.6,99.99,59.56,0.1259,-0.3969,0.76,54,83
0.771,4.19,40.81,6.26,-34.05,0.8796,-0.3585,0.64,0,74
0.9862,73.45,88.11,64.74,-82.18,0.4023,0.6964,0.18,2,39
0.1468,94.85,52.84,62.17,95.93,-0.6476,-0.8323,0.47,85,93
0.0931,22,82.9,66.17,-38.01,-0.4022,0.306,0.42,57,66
-0.1269,27.61,95.57,77.37,56.9,0.9829,-0.1808,0.27,100,74
-0.4105,67.12,63.85,43.9,10.7,-0.8145,-0.4865,0.03,70,27
-0.6066,7.51,84.08,89.23,-88.59,0.2327,0.9081,0.94,7,90
0.1913,98.17,30.42,79.61,83.71,0.4766,0.9902,0.2,17,20
0.413,30.18,5.48,44.5,87.56,-0.7436,-0.6656,0.3,24,85
-0.488,77.1,44.99,37.68,40.02,-0.5959,0.559,1,79,88
-0.0814,77.68,43.74,13.34,-83.91,0.6268,0.5039,0.55,59,59
0.217,88.31,51.68,46.6,-20.84,-0.5309,0.399,0.33,1,88
-0.8674,51.45,14.5,24.02,-21.38,0.3861,-0.7944,0.31,17,35
0.6532,61.78,28.24,33.11,57.39,0.9391,-0.5469,0.19,64,43
-0.5918,49.27,30.3,56.46,54.04,0.8595,-0.922,0.9,6,24
-0.5706,85.1,53.72,87.13,28.95,-0.8104,0.9309,0.9,32,32
0.9147,35.33,29.23,12,94.2,-0.4888,0.2529,0.27,60,24
0.3549,14.47,51.34,90.62,35.74,-0.5273,-0.1937,0.52,21,56
0.5364,21.21,30.2,29.16,-43.35,0.1849,-0.5236,0.44,33,29
0.0803,5.7,19.09,95.57,27.06,0.7977,0.1888,0.85,89,78
0.8525,19.14,94.22,92,20.03,-0.6425,0.5472,0.26,26,99
-0.1674,26.91,17.73,76.91,28.51,-0.0179,-0.8379,0.57,2,70
0.0705,89.12,9.93,75.42,45.28,0.9438,0.0649,0.95,89,100
0.5901,23.58,13.5,53.18,8.59,0.6068,-0.3259,0.37,83,64
-0.038,97.77,49.7,92.43,9.29,0.6286,0.153,0.24,6,32
-0.8176,37.16,13.83,13.9,42.45,-0.2478,0.5481,0.66,53,80
0.4645,40.05,5.33,79.18,-58.54,0.0217,-0.1682,0.91,82,32
-0.1841,71.26,22.62,71.79,-32.01,0.3953,0.3749,0.63,39,32
0.4188,41.31,39.38,40.24,79.67,0.9217,-0.6842,0.19,32,44
0.1788,93.56,58.84,11.45,-66.24,-0.9191,-0.2622,0.87,32,59
-0.0939,6.96,28.04,40.1,-47.25,-0.4829,-0.2304,0.65,56,2
0.2583,32.71,23.47,87.17,-24.92,-0.7406,-0.8921,0.17,75,90
0.9005,22.54,95.9,4.92,-56.45,0.4111,0.8286,0.88,90,26
0.1995,25.96,55.59,83.75,9.77,-0.4216,0.0346,0.45,41,66
-0.3041,52.3,37.13,42.73,71.43,-0.3265,-0.8205,0.58,48,94
-0.3554,10.1,67.2,92.01,-81.74,0.9876,-0.2845,0.46,34,57
0.1546,66.76,7.75,53.1,60.69,0.4676,0.0864,0.54,74,37
-0.4352,78.26,96.61,17.53,-25.61,-0.7919,-0.3006,0.87,96,88
-0.9982,84.57,79.08,48.95,-97.49,0.0759,-0.7226,0.47,88,77
0.8685,86.02,46.91,60.67,27.78,-0.5693,-0.1819,0.61,100,41
-0.4355,62.51,76.83,4.55,55.19,-0.3331,-0.1935,0.38,53,89
0.5437,67.3,42.86,75.08,-43.48,0.0521,-0.8067,0.7,64,68
0.3147,56.57,99.65,5.5,-89.84,-0.632,0.8965,0.34,5,62
0.2383,97.25,7.48,99.89,-70.9,0.9413,-0.3395,0.08,64,11
-0.7411,69.84,18.5,8.08,21.94,-0.0485,1,0.8,10,46
0.401,56.43,94.73,91.54,43.4,0.1557,-0.1613,0.13,11,13
0.6614,5.38,3.3,10.11,40.45,0.1184,-0.7263,0.39,76,46
0.6949,53.7,80.32,60.74,96.2,-0.4922,-0.6616,0.18,98,95
-0.0083,29.9,58.05,9.76,-22.62,-0.3781,-0.1739,0.39,38,28
-0.6972,77.03,55.01,64.77,52.19,-0.279,0.6403,0.52,65,62
-0.247,12.18,67.33,70.85,-4.32,-0.5322,0.2548,0.3,14,5
0.7788,87.33,46.68,89.55,-46.02,0.6891,-0.9872,0.69,28,86
0.0432,21.79,23.74,8.07,-47.36,0.6612,-0.7658,0.83,82,47
-0.575,54.98,51.49,71.14,-57.23,0.5019,-0.0619,0.3,92,17
0.0822,36.28,97.59,84,91.06,0.9223,0.5613,0.5,16,12
0.9895,88.74,8.6,47.24,4.76,-0.6024,-0.7034,0.53,16,77
0.7958,90.68,42.33,82.48,79.01,-0.7246,0.9701,0.4,52,0
-0.1395,82.89,0.01,64.75,26.37,0.7064,0.6585,0.57,23,60
0.0593,91.46,86.78,50.29,56.8,0.3132,0.7051,0.45,84,72
-0.1036,22.51,10.01,59.82,-22.34,-0.9617,-0.5203,0.58,89,15
0.7799,95.8,72.97,59.95,-50.54,0.3229,0.7287,0.44,29,42
0.608,10.79,89.44,66.75,-62.89,-0.1883,-0.1262,0.04,24,68
0.319,55.36,16.63,42.42,81.62,-0.5453,-0.5003,0.58,11,54
-0.4878,20.8,28.04,81.87,42.88,-0.5529,0.1219,0.07,14,60
0.9418,35.32,9.76,58.12,10.55,0.3783,0.8913,0.87,8,45
0.731,47.89,10.59,24.26,-40.98,-0.4626,0.8535,0.7,99,74
0.0055,40.59,47.06,6.28,82.74,-0.1234,0.1862,0.86,57,89
-0.3298,49.99,53.24,87.78,8.93,0.0839,-0.1162,0.44,85,59
0.2328,27.87,72.8,47.56,35.42,-0.8122,-0.1639,0.11,43,88
0.7275,21.54,97.63,76.01,-7.32,-0.0756,-0.313,0.89,67,45
0.2815,70.49,55.7,75.78,-19.6,0.5073,-0.8539,0.31,42,56
0.5885,36.01,27.09,65.87,67.34,-0.8254,-0.4964,0.65,93,43
-0.9545,76.68,90.96,65.92,-10.52,-0.3978,-0.9915,0.79,21,51
0.1446,27.46,6.83,30.6,39.54,-0.004,-0.986,0.33,75,92
-0.2851,0.86,34.96,62.38,44.78,0.6897,0.0922,0.9,18,7
-0.2645,17.18,48.13,51.98,-62.6,-0.7447,0.7824,0.74,10,92
-0.3647,95.74,46.71,34.77,-51.93,-0.4375,0.6987,0.76,91,97
-0.4808,75.64,69.66,40.77,53.67,-0.4234,0.9465,0.76,46,35
-0.863,45.33,99.33,6.93,53.54,0.3731,-0.5751,0.41,1,36
0.038,80.89,58.5,65.29,43.61,-0.2597,0.3013,0.02,7,16
-0.1621,67.82,67.46,22.98,-67.3,-0.5386,0.6287,0.84,76,77
-0.607,43.54,46.07,58.2,-71.78,0.8111,0.4428,0.38,19,83
0.7532,96.69,12.23,41.45,-25.35,0.8393,0.044,0.74,59,75
-0.6305,2.02,37.17,91.85,38.72,0.1413,-0.9908,0.16,61,56
0.7506,28.84,71.79,21.35,87.36,0.4118,-0.8499,0.12,12,98
0.0102,30.93,49.79,95.88,-38.24,0.7261,-0.6871,0.45,48,34
-0.9539,87.61,68.29,76.78,92.75,-0.8596,0.2505,0.76,45,88
-0.7041,6.8,74.3,42.55,-48.26,-0.4395,0.0547,0.25,27,28
0.684,32.47,75.39,18.19,99.58,0.1725,-0.3598,0.67,19,90
-0.1058,95.21,70.66,95.32,-18.41,-0.429,0.1355,0.69,24,67
-0.0763,84.26,50.87,68.49,85.3,-0.3273,0.5035,0.45,56,37
-0.2428,62.24,90.89,80.41,1.78,-0.7309,-0.2253,0.16,4,93
-0.5974,86.26,1.76,7.93,43.62,-0.1187,-0.4058,0.2,84,20
-0.2235,82.56,41.34,89.11,84.25,0.9321,-0.1357,0.11,81,95
0.1162,87.35,10.4,0.61,-32.27,-0.4262,0.6113,0.89,17,26
-0.7091,23.47,45,12.74,-45.04,0.8404,-0.2891,0.6,21,38
0.9279,32.59,67,58.29,85.78,0.3845,-0.2388,0.42,7,0
-0.1369,90.11,11.97,84.75,24.73,0.708,-0.3872,0.49,54,32
